,price,Style,Colour,Screen Size,Special Feature,Target Audience,Shape
205,1799.0,ColorFit Pulse 2,Grey,1.8 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
206,1799.0,Modern,Black,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
207,1299.0,ColorFit Pulse Grand,Black,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
208,1799.0,Strap,Grey,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
209,1799.0,Strap,Blue,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
210,1899.0,ColorFit Pulse,Jet Black,1.4 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
211,1999.0,ColorFit Pulse Grand,Pink,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
212,2999.0,ColorFit Pro 4,Black,1.72 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
213,1799.0,Strap,Green,1.69 ,bluetooth,"Unisex Children, Unisex Teen",sqaure
214,3499.0,Modern,Jet Black,1.69 ,Alarm Clock,"Unisex Children, Unisex Teen",sqaure
215,1999.0,ColorFit Pulse Buzz,Pink,1.69 ,Alarm Clock,"Unisex Children, Unisex Teen",sqaure
216,1999.0,Modern,Black,1.85 ,Alarm Clock,"Unisex Children, Unisex Teen",sqaure
217,1999.0,ColorFit Ultra Buzz,Black,1.75 ,Alarm Clock,"Unisex Children, Unisex Teen",sqaure
218,1999.0,ColorFit Pulse Grand,Grey,1.69 ,Alarm Clock,"Unisex Children, Unisex Teen",sqaure
219,1499.0,ColorFit Pro 2,Deep Wine,1.3 ,Alarm Clock,"Unisex Children, Unisex Teen",sqaure
220,1499.0,ColorFit Pro 2,Jet Black,1.33 ,Alarm Clock,"Unisex Children, Unisex Teen",sqaure
221,1999.0,ColorFit Pulse Grand,Lime Green,1.69 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
222,2999.0,ColorFit Pro 4,Black,1.72 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
223,1999.0,Modern,Pink,1.85 ,Alarm Clock,"Unisex Teen, Unisex Adult",sqaure
